Address,Neighbourhood,Floor Size,Latitude,Longitude,Date of Status,Price Listed,Status,Sold Price,Type of House,Bedrooms,Bathrooms,Garage,City
107 - 269 Georgian Dr ,Uptown Core,1099.0,-79.71568,43.48133,2024-02-24,749900.0,Sold,745000.0,Condo Townhouse,2,2,1, Oakville
1503 Kenilworth Cres ,Iroquois Ridge South,,-79.68585,43.48803,2024-02-24,1368000.0,For Sale,,Link,3,3,2, Oakville
340 - 2485 Taunton Rd Rd S ,Uptown Core,649.0,-79.71938,43.4863,2024-02-24,579900.0,For Sale,,Condo Apt,1,1,1, Oakville
606 - 2175 Marine Dr ,Bronte West,1299.0,-79.70326,43.40026,2024-02-24,969000.0,Sold Conditional,969000.0,Condo Apt,2,2,1, Oakville
502 - 1300 Marlborough Rd ,College Park,1299.0,-79.69273,43.47004,2024-02-24,699900.0,Terminated,,Condo Apt,3,2,1, Oakville
3521 Post Rd ,Rural Oakville,2250.0,-79.74304,43.4944896,2024-02-24,1550000.0,For Sale,,Freehold Townhouse,4,5,1, Oakville
425 Silver Maple Rd ,Rural Oakville,1750.0,-79.7168,43.49208,2024-02-24,999999.0,Sold,1125000.0,Freehold Townhouse,3,3,1, Oakville
220 - 102 Grovewood Common Cres ,Rural Oakville,549.0,-79.72708,43.48238,2024-02-24,568888.0,For Sale,,Condo Apt,1,1,1, Oakville
1369 Clearview Dr ,Clearview,3250.0,-79.66383,43.50087,2024-02-24,1989000.0,For Sale,,Detached,4,4,2, Oakville
235 Northwood Dr ,Glen Abbey,1750.0,-79.70823,43.44589,2024-02-24,1449000.0,For Sale,,Link,3,4,1, Oakville
220 - 102 Grovewood Common ,Rural Oakville,589.0,-79.726097,43.483478,2024-02-24,568888.0,For Sale,,Condo/Apt Unit,1,1,1, Oakville
1325 Sheldon Ave ,Bronte East,3250.0,-79.70455,43.41939,2024-02-24,3499000.0,For Sale,,Detached,4,4,2, Oakville
24 - 2411 Sovereign St ,Bronte West,1099.0,-79.7123,43.39665,2024-02-24,939800.0,Sold Conditional,939800.0,Condo Townhouse,3,2,1, Oakville
1199 Sixth Line ,College Park,1785.0,-79.69941,43.45811,2024-02-24,1349999.0,For Sale,,Detached,4,2,2, Oakville
6-02 - 2420 Baronwood Dr E ,West Oak Trails,949.0,-79.77046,43.43332,2024-02-23,699999.0,Sold Conditional,699999.0,Condo Townhouse,2,2,1, Oakville
423 - 3200 William Coltson Ave ,Rural Oakville,749.0,-79.7259381,43.493545,2024-02-23,659900.0,Sold,660000.0,Condo Apt,1,1,2, Oakville
On - 2148 Arbourview Dr S ,West Oak Trails,4250.0,-79.75038,43.43456,2024-02-23,2780800.0,For Sale,,Detached,4,5,2, Oakville
1211 Pinegrove Rd ,Bronte East,4250.0,-79.70677,43.42646,2024-02-23,3099000.0,For Sale,,Detached,4,5,2, Oakville
459 - 2481 Taunton Rd ,Uptown Core,749.0,-79.71976,43.48575,2024-02-23,635000.0,For Sale,,Condo Apt,1,2,1, Oakville
1005 - 297 Oak Walk Dr ,Uptown Core,649.0,-79.71817,43.48617,2024-02-23,658000.0,For Sale,,Condo Apt,1,1,1, Oakville
Ph12 - 300 Randall St ,Old Oakville,3124.0,-79.6675,43.44865,2024-02-23,4998800.0,Sold,4550000.0,Condo Apt,2,4,2, Oakville
13 - 120 Bronte Rd ,Bronte West,2250.0,-79.71286,43.39409,2024-02-23,1799000.0,For Sale,,Freehold Townhouse,3,4,1, Oakville
330 Claremont Cres ,Eastlake,2250.0,-79.64131,43.48502,2024-02-23,1949000.0,For Sale,,Detached,3,4,2, Oakville
Ph12 - 300 Randall Street ,Old Oakville,3103.0,-79.667472,43.448691,2024-02-23,4998800.0,Sold,4550000.0,Condo/Apt Unit,2,4,2, Oakville
1005 - 297 Oak Walk Drive ,Uptown Core,625.0,-79.718073,43.48633,2024-02-23,658000.0,For Sale,,Condo/Apt Unit,1,1,1, Oakville
709 - 50 Old Mill Road ,Old Oakville,820.0,-79.684377,43.452336,2024-02-23,639911.0,Terminated,,Condo/Apt Unit,1,1,0, Oakville
319 - 297 Oak Walk Dr ,Uptown Core,1099.0,-79.71817,43.48617,2024-02-23,899999.0,For Sale,,Condo Apt,2,2,2, Oakville
237 - 2485 Taunton Rd ,Uptown Core,1099.0,-79.71938,43.4863,2024-02-23,840999.0,For Sale,,Condo Apt,2,2,2, Oakville
809 - 297 Oak Walk Dr ,Uptown Core,949.0,-79.71817,43.48617,2024-02-23,898000.0,Suspended,,Condo Apt,2,2,2, Oakville
377 Ashbury Rd S ,Bronte East,3250.0,-79.69518,43.43607,2024-02-23,3288000.0,For Sale,,Detached,8,7,2, Oakville
705 - 2365 Central Park Dr ,Uptown Core,849.0,-79.72163,43.47931,2024-02-23,649000.0,For Sale,,Condo Apt,2,2,1, Oakville
612 - 2489 Taunton Rd ,Uptown Core,749.0,-79.72043,43.4863,2024-02-23,699900.0,For Sale,,Condo Apt,2,1,1, Oakville
413 - 1450 Glen Abbey Gate ,Glen Abbey,949.0,-79.73502,43.43579,2024-02-23,549900.0,For Sale,,Condo Apt,2,1,1, Oakville
808 - 297 Oak Walk Dr ,Uptown Core,949.0,-79.71817,43.48617,2024-02-23,825000.0,For Sale,,Condo Apt,2,2,1, Oakville
210 - 349 Wheatboom Dr ,Uptown Core,1099.0,-79.7217472,43.4916437,2024-02-23,699900.0,Sold,695000.0,Condo Townhouse,2,1,0, Oakville
109 - 3028 Creekshore Common Dr ,Rural Oakville,1099.0,-79.7381001,43.4720092,2024-02-23,849000.0,Terminated,,Condo Apt,2,2,1, Oakville
607 - 2185 Marine Dr ,Bronte West,1699.0,-79.70417,43.39982,2024-02-23,975000.0,Sold,968000.0,Condo Apt,2,2,2, Oakville
808 - 297 Oak Walk Dr ,Uptown Core,949.0,-79.71817,43.48617,2024-02-23,849999.0,Terminated,,Condo Apt,2,2,1, Oakville
471 Copeland Crt ,Eastlake,4250.0,-79.66988,43.46442,2024-02-23,4498000.0,For Sale,,Detached,4,5,2, Oakville
385 Threshing Mill Blvd ,Rural Oakville,2250.0,-79.72338,43.49394,2024-02-23,1399990.0,Sold,1435000.0,Freehold Townhouse,4,4,1, Oakville
904 - 2175 Marine Drive ,Bronte West,1560.0,-79.703484,43.400398,2024-02-23,948000.0,For Sale,,Condo/Apt Unit,2,2,1, Oakville
202 - 349 Wheat Boom Dr N ,Uptown Core,1099.0,-79.7217472,43.4916437,2024-02-23,729900.0,Sold,700000.0,Condo Townhouse,2,1,1, Oakville
203 - 349 Wheat Boom Dr ,Rural Oakville,1099.0,-79.7217472,43.4916437,2024-02-23,739800.0,Terminated,,Condo Townhouse,2,1,1, Oakville
1313 Heritage Way ,Glen Abbey,2250.0,-79.74045,43.42761,2024-02-23,1599900.0,Sold Conditional,1599900.0,Detached,4,3,2, Oakville
1703 - 3220 William Coltson Ave ,Rural Oakville,549.0,-79.7271351,43.4945749,2024-02-23,553000.0,For Sale,,Condo Apt,1,1,1, Oakville
114 - 1050 Falgarwood Dr ,Iroquois Ridge South,1299.0,-79.68187,43.47369,2024-02-23,569000.0,Sold Conditional,569000.0,Condo Townhouse,3,2,1, Oakville
415 - 3028 Creekshore Common ,Rural Oakville,949.0,-79.73804,43.47211,2024-02-23,899900.0,For Sale,,Condo Apt,2,2,1, Oakville
209 - 2486 Old Bronte Rd ,Palermo West,549.0,-79.77525,43.43457,2024-02-23,469900.0,Sold,500000.0,Condo Apt,1,1,1, Oakville
343 Watson Ave ,Old Oakville,4046.0,-79.67129,43.45654,2024-02-23,4488000.0,For Sale,,Detached,5,5,1, Oakville
2032 Rebecca St ,Bronte West,3250.0,-79.70706,43.40953,2024-02-23,2999900.0,For Sale,,Detached,4,5,1, Oakville
458 Jeanette Dr ,Bronte East,4250.0,-79.68903,43.4321,2024-02-23,3389000.0,For Sale,,Detached,4,5,2, Oakville
374 Sawyer Rd ,Bronte West,1300.0,-79.71495,43.40694,2024-02-23,1999999.0,Sold,1700000.0,Detached,3,2,1, Oakville
165 Woodhaven Park Drive ,Bronte East,1200.0,-79.695007,43.411786,2024-02-23,2300000.0,Sold Conditional,2300000.0,Single Family Residence,3,1,1, Oakville
112 - 1480 Bishops Gate ,Glen Abbey,1299.0,-79.73888,43.44055,2024-02-23,749999.0,For Sale,,Condo Apt,3,2,1, Oakville
2406 Coho Way ,West Oak Trails,1574.0,-79.76658,43.42961,2024-02-23,1139000.0,For Sale,,Freehold Townhouse,3,3,1, Oakville
2343 Darlington Tr ,Iroquois Ridge North,4250.0,-79.69528,43.49776,2024-02-23,2998000.0,For Sale,,Detached,4,5,2, Oakville
227 Wheat Boom Dr ,Rural Oakville,1750.0,-79.72625,43.48734,2024-02-23,988888.0,Sold,1248000.0,Freehold Townhouse,3,4,1, Oakville
1372 Liverpool St ,West Oak Trails,2750.0,-79.75195,43.44782,2024-02-23,1998800.0,Sold,1950000.0,Detached,4,5,2, Oakville
25 Lambert Common ,Old Oakville,4160.0,-79.68177,43.42951,2024-02-23,5600000.0,Terminated,,Detached,4,5,3, Oakville
1442 Winterbourne Dr ,Clearview,2750.0,-79.66552,43.50121,2024-02-23,1920000.0,Sold,1870000.0,Detached,4,4,2, Oakville
2094 Elmhurst Avenue ,Eastlake,4942.0,-79.643947,43.473936,2024-02-23,4580000.0,Sold Conditional,4580000.0,Single Family Residence,5,9,3, Oakville
1416 Lakeport Cres ,Rural Oakville,2322.0,-79.70708,43.5068,2024-02-23,1725000.0,For Sale,,Detached,4,3,1, Oakville
904 - 2175 Marine Dr ,Bronte West,1499.0,-79.70326,43.40026,2024-02-23,948000.0,For Sale,,Condo Apt,2,2,1, Oakville
421 Palmer Ave ,Old Oakville,2250.0,-79.66659,43.45338,2024-02-23,2400000.0,For Sale,,Detached,3,3,1, Oakville
1467 Bayshire Drive ,Iroquois Ridge North,3494.0,-79.68875,43.496294,2024-02-23,2999999.0,Sold,2880000.0,Single Family Residence,4,5,2, Oakville
498 Chamberlain Lane ,Eastlake,4237.0,-79.66865,43.4675,2024-02-23,5795500.0,For Sale,,Detached,4,6,2, Oakville
1130 Windrush Dr ,Glen Abbey,2250.0,-79.73273,43.4402,2024-02-23,1799999.0,For Sale,,Detached,4,4,2, Oakville
192 Mohawk Rd ,Bronte West,2540.0,-79.72069,43.38896,2024-02-23,1749900.0,For Sale,,Detached,4,4,2, Oakville
C - 2386 Munn's Ave ,River Oaks,1099.0,-79.722,43.47334,2024-02-26,599999.0,For Sale,,Condo Townhouse,2,2,2, Oakville
140 Cherryhurst Rd ,Rural Oakville,2250.0,-79.73742,43.47873,2024-02-26,1399000.0,Sold Conditional,1399000.0,Detached,3,4,2, Oakville
124 - 2441 Greenwich Dr ,West Oak Trails,1099.0,-79.77269,43.43541,2024-02-26,819999.0,Terminated,,Condo Townhouse,2,2,1, Oakville
214 - 65 Speers Rd ,Old Oakville,849.0,-79.68754,43.44758,2024-02-26,629900.0,Sold,610000.0,Condo Apt,1,2,1, Oakville
1246 Crawford Crt ,Eastlake,,-79.65697,43.46466,2024-02-26,4249850.0,For Sale,,Detached,4,4,2, Oakville
405 - 65 Speers Rd ,Old Oakville,749.0,-79.68754,43.44758,2024-02-26,649900.0,Sold Conditional,649900.0,Condo Apt,2,1,1, Oakville
1414 Amber Cres ,Eastlake,4250.0,-79.65759,43.47267,2024-02-26,5275000.0,For Sale,,Detached,4,7,2, Oakville
389 River Side Drive ,Old Oakville,2039.0,-79.680355,43.451558,2024-02-26,2249000.0,Sold Conditional,2249000.0,Single Family Residence,4,4,1, Oakville
310 - 2388 Khalsa Gate ,Palermo West,749.0,-79.77243,43.43237,2024-02-26,579000.0,Sold Conditional,579000.0,Condo Apt,1,1,1, Oakville
9 - 223 Rebecca St ,Old Oakville,1499.0,-79.68133,43.43762,2024-02-26,1450000.0,Sold Conditional,1450000.0,Condo Townhouse,3,4,1, Oakville
21 - 2496 Post Rd ,Uptown Core,949.0,-79.72776,43.47952,2024-02-26,659999.0,Sold Conditional,659999.0,Condo Apt,2,2,1, Oakville
1101 Goodson Cres ,Iroquois Ridge North,2750.0,-79.69917,43.48441,2024-02-26,1999900.0,For Sale,,Detached,4,4,2, Oakville
1073 Cedar Grove Blvd ,Eastlake,2250.0,-79.66569,43.46245,2024-02-26,2900000.0,For Sale,,Detached,4,3,1, Oakville
2084 Pineview Dr ,Iroquois Ridge South,3250.0,-79.69238,43.48915,2024-02-26,2100000.0,Sold Conditional,2100000.0,Detached,4,4,2, Oakville
3024 George Savage Ave ,Rural Oakville,2250.0,-79.74106,43.47025,2024-02-26,1299000.0,Sold Conditional,1299000.0,Freehold Townhouse,3,4,2, Oakville
3043 Blacktusk Common ,Rural Oakville,1300.0,-79.71818,43.49154,2024-02-26,929000.0,Sold Conditional,929000.0,Freehold Townhouse,2,3,1, Oakville
84 Chancery Lane E ,Eastlake,2750.0,-79.63148,43.47889,2024-02-26,2649000.0,Sold Conditional,2649000.0,Detached,4,3,2, Oakville
254 Elmwood Rd ,Old Oakville,2250.0,-79.68952,43.44132,2024-02-26,1200000.0,Sold,1200000.0,Detached,4,2,1, Oakville
3169 Sunflower Dr ,Rural Oakville,3250.0,-79.74685,43.47155,2024-02-26,2338800.0,Sold,2338888.0,Detached,4,5,2, Oakville
482 Anthony Dr ,Old Oakville,2750.0,-79.67101,43.45951,2024-02-26,2298000.0,Sold,2230000.0,Detached,4,3,1, Oakville
1166 Sherwood Crt ,Bronte East,3250.0,-79.70053,43.42422,2024-02-26,3499000.0,For Sale,,Detached,4,5,2, Oakville
1334 Sixth Line ,College Park,1300.0,-79.70417,43.46108,2024-02-26,899000.0,For Sale,,Semi-Detached,4,2,0, Oakville
2322 Hyacinth Cres ,Glen Abbey,5000.0,-79.7455,43.42229,2024-02-26,3499900.0,For Sale,,Detached,5,6,3, Oakville
506 - 1905 Pilgrims Way ,Glen Abbey,1299.0,-79.72874,43.4439,2024-02-26,738800.0,Sold Conditional,738800.0,Condo Apt,2,2,1, Oakville
1407 - 345 Wheat Boom Dr ,Rural Oakville,849.0,-79.721752,43.4916416,2024-02-26,690000.0,Sold Conditional,690000.0,Condo Apt,2,1,1, Oakville
1071 Springbrook Cres ,Glen Abbey,1750.0,-79.72155,43.44101,2024-02-26,1295000.0,Sold Conditional,1295000.0,Link,3,4,1, Oakville
434 Silver Maple Rd ,Rural Oakville,1750.0,-79.71631,43.49224,2024-02-26,1099900.0,Sold,1150000.0,Detached,3,3,1, Oakville
1320 Hillhurst Road ,Eastlake,4714.0,-79.65362,43.465776,2024-02-26,5899000.0,For Sale,,Single Family Residence,4,6,2, Oakville
433 Doverwood Dr ,River Oaks,2653.0,-79.7375,43.46505,2024-02-26,1925000.0,For Sale,,Detached,4,4,2, Oakville
2265 Brays Lane ,Glen Abbey,2250.0,-79.73624,43.42541,2024-02-26,1938888.0,For Sale,,Detached,3,3,2, Oakville
14 - 2476 Post Rd ,Uptown Core,949.0,-79.72642,43.48003,2024-02-26,689000.0,For Sale,,Condo Townhouse,2,2,1, Oakville
1402 - 2481 Taunton Rd ,Uptown Core,949.0,-79.71976,43.48575,2024-02-26,699000.0,For Sale,,Condo Apt,2,2,1, Oakville
403 - 3285 Carding Mill Tr ,Rural Oakville,949.0,-79.7434907,43.4765962,2024-02-26,885000.0,For Sale,,Condo Apt,2,2,1, Oakville
326 - 349 Wheat Boom Dr ,Rural Oakville,1299.0,-79.7217472,43.4916437,2024-02-26,824500.0,Sold,800000.0,Condo Townhouse,2,3,1, Oakville
520 - 3005 Pine Glenn Rd ,Palermo West,549.0,-79.77346,43.43307,2024-02-26,529900.0,Sold,499990.0,Condo Apt,1,1,1, Oakville
14 - 2476 Post Rd ,Uptown Core,949.0,-79.72642,43.48003,2024-02-26,699000.0,Terminated,,Condo Townhouse,2,2,1, Oakville
2495 Scotch Pine Dr ,West Oak Trails,2750.0,-79.75356,43.45413,2024-02-26,1899900.0,For Sale,,Detached,4,4,2, Oakville
1325 Monks Passage Rd ,Glen Abbey,3250.0,-79.72317,43.44582,2024-02-26,2188000.0,Sold Conditional,2188000.0,Detached,4,4,2, Oakville
2052 Saxon Rd ,Bronte West,1342.0,-79.71663,43.41544,2024-02-26,1299900.0,Sold,1294000.0,Detached,3,2,0, Oakville
2385 Wasaga Dr ,Iroquois Ridge North,2250.0,-79.70326,43.50017,2024-02-26,1690000.0,Sold,1675000.0,Freehold Townhouse,3,4,2, Oakville
1402 - 2481 Taunton Rd ,Uptown Core,949.0,-79.71976,43.48575,2024-02-26,799900.0,Terminated,,Condo Apt,2,2,1, Oakville
1312 Saddler Circ ,Glen Abbey,3177.0,-79.7391,43.42849,2024-02-26,2200000.0,For Sale,,Detached,4,4,2, Oakville
342 Claremont Cres ,Eastlake,1987.0,-79.64113,43.48546,2024-02-26,1880000.0,Sold Conditional,1880000.0,Detached,3,3,2, Oakville
1389 Winterbourne Dr ,Clearview,2544.0,-79.66659,43.49983,2024-02-26,1778000.0,Sold,1800000.0,Detached,4,4,2, Oakville
119 Glenashton Dr ,Uptown Core,2250.0,-79.71951,43.47661,2024-02-26,1190000.0,Sold,1186000.0,Semi-Detached,3,3,2, Oakville
530 Maplehurst Ave ,Bronte East,3250.0,-79.69972,43.42912,2024-02-26,3288000.0,Sold,3288000.0,Detached,4,6,2, Oakville
157 - 405 Dundas St ,Rural Oakville,1299.0,-79.7419,43.46816,2024-02-26,999000.0,For Sale,,Condo Townhouse,2,3,1, Oakville
403 - 3028 Creekshore Common ,Rural Oakville,1099.0,-79.73804,43.47211,2024-02-26,899900.0,Suspended,,Condo Apt,2,2,2, Oakville
133 Westside Dr ,Old Oakville,1300.0,-79.68095,43.44179,2024-02-26,1249000.0,Sold,1240000.0,Detached,2,2,1, Oakville
250 Wedgewood Dr ,Eastlake,4250.0,-79.65219,43.46898,2024-02-26,5695000.0,Terminated,,Detached,4,7,2, Oakville
332 Sawyer Rd ,Bronte West,4250.0,-79.71344,43.40571,2024-02-26,3699000.0,For Sale,,Detached,5,6,2, Oakville
118 Ridge Dr ,College Park,3250.0,-79.69431,43.45993,2024-02-26,1488000.0,For Sale,,Detached,3,2,2, Oakville
2094 Elmhurst Ave ,Eastlake,5000.0,-79.64409,43.47399,2024-02-26,4580000.0,Sold,4375000.0,Detached,5,9,3, Oakville
124 Glenashton Dr ,River Oaks,1300.0,-79.71933,43.47617,2024-02-25,999000.0,For Sale,,Freehold Townhouse,3,4,1, Oakville
3287 Harasym Tr ,Rural Oakville,2250.0,-79.7642383,43.4580752,2024-02-26,1788888.0,Sold,1720000.0,Detached,4,3,1, Oakville
2432 Felhaber Cres ,Iroquois Ridge North,2133.0,-79.70822,43.49429,2024-02-26,1499000.0,For Sale,,Semi-Detached,4,4,1, Oakville
2395 Ventura Dr ,Bronte West,1750.0,-79.71614,43.40335,2024-02-26,1500000.0,For Sale,,Detached,3,2,2, Oakville
316 - 50 Kaitting Tr ,Rural Oakville,849.0,-79.73201,43.47841,2024-02-26,799900.0,Sold Conditional,799900.0,Condo Apt,2,2,2, Oakville
316 - 50 Kitting Trail ,GO Glenorchy,854.0,-79.731476,43.479388,2024-02-26,799900.0,Sold Conditional,799900.0,"Apartment Unit, Condominium",2,2,2, Oakville
1346 Sandpiper Rd ,West Oak Trails,2928.0,-79.7396,43.44399,2024-02-24,2128786.0,For Sale,,Detached,4,4,2, Oakville
2177 Whitworth Dr ,Palermo West,2750.0,-79.77163,43.42257,2024-02-24,1699000.0,Sold,1675000.0,Detached,3,4,1, Oakville
1534 Oxford Ave ,College Park,900.0,-79.7156,43.46171,2024-02-24,1388888.0,Sold,1342500.0,Detached,3,2,0, Oakville
107 - 269 Georgian Dr ,Uptown Core,1099.0,-79.71568,43.48133,2024-02-24,749900.0,Sold,745000.0,Condo Townhouse,2,2,1, Oakville
1503 Kenilworth Cres ,Iroquois Ridge South,,-79.68585,43.48803,2024-02-24,1368000.0,For Sale,,Link,3,3,2, Oakville
340 - 2485 Taunton Rd Rd S ,Uptown Core,649.0,-79.71938,43.4863,2024-02-24,579900.0,For Sale,,Condo Apt,1,1,1, Oakville
606 - 2175 Marine Dr ,Bronte West,1299.0,-79.70326,43.40026,2024-02-24,969000.0,Sold Conditional,969000.0,Condo Apt,2,2,1, Oakville
502 - 1300 Marlborough Rd ,College Park,1299.0,-79.69273,43.47004,2024-02-24,699900.0,Terminated,,Condo Apt,3,2,1, Oakville
3521 Post Rd ,Rural Oakville,2250.0,-79.74304,43.4944896,2024-02-24,1550000.0,For Sale,,Freehold Townhouse,4,5,1, Oakville
425 Silver Maple Rd ,Rural Oakville,1750.0,-79.7168,43.49208,2024-02-24,999999.0,Sold,1125000.0,Freehold Townhouse,3,3,1, Oakville
220 - 102 Grovewood Common Cres ,Rural Oakville,549.0,-79.72708,43.48238,2024-02-24,568888.0,For Sale,,Condo Apt,1,1,1, Oakville
1369 Clearview Dr ,Clearview,3250.0,-79.66383,43.50087,2024-02-24,1989000.0,For Sale,,Detached,4,4,2, Oakville
235 Northwood Dr ,Glen Abbey,1750.0,-79.70823,43.44589,2024-02-24,1449000.0,For Sale,,Link,3,4,1, Oakville
220 - 102 Grovewood Common ,Rural Oakville,589.0,-79.726097,43.483478,2024-02-24,568888.0,For Sale,,Condo/Apt Unit,1,1,1, Oakville
1325 Sheldon Ave ,Bronte East,3250.0,-79.70455,43.41939,2024-02-24,3499000.0,For Sale,,Detached,4,4,2, Oakville
24 - 2411 Sovereign St ,Bronte West,1099.0,-79.7123,43.39665,2024-02-24,939800.0,Sold Conditional,939800.0,Condo Townhouse,3,2,1, Oakville
1199 Sixth Line ,College Park,1785.0,-79.69941,43.45811,2024-02-24,1349999.0,For Sale,,Detached,4,2,2, Oakville
6-02 - 2420 Baronwood Dr E ,West Oak Trails,949.0,-79.77046,43.43332,2024-02-23,699999.0,Sold Conditional,699999.0,Condo Townhouse,2,2,1, Oakville
423 - 3200 William Coltson Ave ,Rural Oakville,749.0,-79.7259381,43.493545,2024-02-23,659900.0,Sold,660000.0,Condo Apt,1,1,2, Oakville
On - 2148 Arbourview Dr S ,West Oak Trails,4250.0,-79.75038,43.43456,2024-02-23,2780800.0,For Sale,,Detached,4,5,2, Oakville
1211 Pinegrove Rd ,Bronte East,4250.0,-79.70677,43.42646,2024-02-23,3099000.0,For Sale,,Detached,4,5,2, Oakville
459 - 2481 Taunton Rd ,Uptown Core,749.0,-79.71976,43.48575,2024-02-23,635000.0,For Sale,,Condo Apt,1,2,1, Oakville
1005 - 297 Oak Walk Dr ,Uptown Core,649.0,-79.71817,43.48617,2024-02-23,658000.0,For Sale,,Condo Apt,1,1,1, Oakville
Ph12 - 300 Randall St ,Old Oakville,3124.0,-79.6675,43.44865,2024-02-23,4998800.0,Sold,4550000.0,Condo Apt,2,4,2, Oakville
13 - 120 Bronte Rd ,Bronte West,2250.0,-79.71286,43.39409,2024-02-23,1799000.0,For Sale,,Freehold Townhouse,3,4,1, Oakville
330 Claremont Cres ,Eastlake,2250.0,-79.64131,43.48502,2024-02-23,1949000.0,For Sale,,Detached,3,4,2, Oakville
Ph12 - 300 Randall Street ,Old Oakville,3103.0,-79.667472,43.448691,2024-02-23,4998800.0,Sold,4550000.0,Condo/Apt Unit,2,4,2, Oakville
1005 - 297 Oak Walk Drive ,Uptown Core,625.0,-79.718073,43.48633,2024-02-23,658000.0,For Sale,,Condo/Apt Unit,1,1,1, Oakville
709 - 50 Old Mill Road ,Old Oakville,820.0,-79.684377,43.452336,2024-02-23,639911.0,Terminated,,Condo/Apt Unit,1,1,0, Oakville
319 - 297 Oak Walk Dr ,Uptown Core,1099.0,-79.71817,43.48617,2024-02-23,899999.0,For Sale,,Condo Apt,2,2,2, Oakville
237 - 2485 Taunton Rd ,Uptown Core,1099.0,-79.71938,43.4863,2024-02-23,840999.0,For Sale,,Condo Apt,2,2,2, Oakville
809 - 297 Oak Walk Dr ,Uptown Core,949.0,-79.71817,43.48617,2024-02-23,898000.0,Suspended,,Condo Apt,2,2,2, Oakville
377 Ashbury Rd S ,Bronte East,3250.0,-79.69518,43.43607,2024-02-23,3288000.0,For Sale,,Detached,8,7,2, Oakville
705 - 2365 Central Park Dr ,Uptown Core,849.0,-79.72163,43.47931,2024-02-23,649000.0,For Sale,,Condo Apt,2,2,1, Oakville
612 - 2489 Taunton Rd ,Uptown Core,749.0,-79.72043,43.4863,2024-02-23,699900.0,For Sale,,Condo Apt,2,1,1, Oakville
413 - 1450 Glen Abbey Gate ,Glen Abbey,949.0,-79.73502,43.43579,2024-02-23,549900.0,For Sale,,Condo Apt,2,1,1, Oakville
808 - 297 Oak Walk Dr ,Uptown Core,949.0,-79.71817,43.48617,2024-02-23,825000.0,For Sale,,Condo Apt,2,2,1, Oakville
210 - 349 Wheatboom Dr ,Uptown Core,1099.0,-79.7217472,43.4916437,2024-02-23,699900.0,Sold,695000.0,Condo Townhouse,2,1,0, Oakville
109 - 3028 Creekshore Common Dr ,Rural Oakville,1099.0,-79.7381001,43.4720092,2024-02-23,849000.0,Terminated,,Condo Apt,2,2,1, Oakville
607 - 2185 Marine Dr ,Bronte West,1699.0,-79.70417,43.39982,2024-02-23,975000.0,Sold,968000.0,Condo Apt,2,2,2, Oakville
808 - 297 Oak Walk Dr ,Uptown Core,949.0,-79.71817,43.48617,2024-02-23,849999.0,Terminated,,Condo Apt,2,2,1, Oakville
471 Copeland Crt ,Eastlake,4250.0,-79.66988,43.46442,2024-02-23,4498000.0,For Sale,,Detached,4,5,2, Oakville
385 Threshing Mill Blvd ,Rural Oakville,2250.0,-79.72338,43.49394,2024-02-23,1399990.0,Sold,1435000.0,Freehold Townhouse,4,4,1, Oakville
904 - 2175 Marine Drive ,Bronte West,1560.0,-79.703484,43.400398,2024-02-23,948000.0,For Sale,,Condo/Apt Unit,2,2,1, Oakville
202 - 349 Wheat Boom Dr N ,Uptown Core,1099.0,-79.7217472,43.4916437,2024-02-23,729900.0,Sold,700000.0,Condo Townhouse,2,1,1, Oakville
203 - 349 Wheat Boom Dr ,Rural Oakville,1099.0,-79.7217472,43.4916437,2024-02-23,739800.0,Terminated,,Condo Townhouse,2,1,1, Oakville
1313 Heritage Way ,Glen Abbey,2250.0,-79.74045,43.42761,2024-02-23,1599900.0,Sold Conditional,1599900.0,Detached,4,3,2, Oakville
1703 - 3220 William Coltson Ave ,Rural Oakville,549.0,-79.7271351,43.4945749,2024-02-23,553000.0,For Sale,,Condo Apt,1,1,1, Oakville
114 - 1050 Falgarwood Dr ,Iroquois Ridge South,1299.0,-79.68187,43.47369,2024-02-23,569000.0,Sold Conditional,569000.0,Condo Townhouse,3,2,1, Oakville
415 - 3028 Creekshore Common ,Rural Oakville,949.0,-79.73804,43.47211,2024-02-23,899900.0,For Sale,,Condo Apt,2,2,1, Oakville
209 - 2486 Old Bronte Rd ,Palermo West,549.0,-79.77525,43.43457,2024-02-23,469900.0,Sold,500000.0,Condo Apt,1,1,1, Oakville
343 Watson Ave ,Old Oakville,4046.0,-79.67129,43.45654,2024-02-23,4488000.0,For Sale,,Detached,5,5,1, Oakville
2032 Rebecca St ,Bronte West,3250.0,-79.70706,43.40953,2024-02-23,2999900.0,For Sale,,Detached,4,5,1, Oakville
458 Jeanette Dr ,Bronte East,4250.0,-79.68903,43.4321,2024-02-23,3389000.0,For Sale,,Detached,4,5,2, Oakville
374 Sawyer Rd ,Bronte West,1300.0,-79.71495,43.40694,2024-02-23,1999999.0,Sold,1700000.0,Detached,3,2,1, Oakville
